gate,combo,N,gate_base_pct,NRFI_pct,delta_pp,z,ROI_m135
gate_A,day,515,63.3,69.7,6.4,3.17,21.3
gate_A,night,735,63.3,58.8,-4.5,-2.48,2.3
gate_A,day+pitcher_park,148,63.3,60.8,-2.5,-0.62,5.8
gate_A,day+cold,58,63.3,65.5,2.2,0.36,14.0
gate_A,day+windy,183,63.3,69.9,6.7,1.97,21.7
gate_A,day+strong_wind,45,63.3,68.9,5.6,0.81,19.9
gate_A,day+ump_under,114,63.3,74.6,11.3,2.77,29.7
gate_A,day+hitter_park,165,63.3,72.1,8.8,2.53,25.5
gate_A,pitcher_park+cold,35,63.3,71.4,8.1,1.07,24.3
gate_A,pitcher_park+windy,139,63.3,57.6,-5.7,-1.37,0.1
gate_A,hitter_park+windy,78,63.3,69.2,6.0,1.14,20.5
gate_A,cold+windy,54,63.3,66.7,3.4,0.53,16.0
gate_A,strong_wind,71,63.3,71.8,8.6,1.6,25.0
gate_A,strong_wind+outdoor,71,63.3,71.8,8.6,1.6,25.0
gate_A,ump_under+windy,91,63.3,62.6,-0.6,-0.13,9.0
gate_A,indoor,47,63.3,57.4,-5.8,-0.81,-0.0
gate_A,outdoor+calm,392,63.3,65.1,1.8,0.74,13.2
gate_A,outdoor+windy,338,63.3,63.6,0.3,0.13,10.7
gate_A,warm+hitter_park,82,63.3,73.2,9.9,2.02,27.3
gate_A,cold+pitcher_park,35,63.3,71.4,8.1,1.07,24.3
gate_A,pf_94,180,63.3,63.3,0.1,0.01,10.2
gate_A,pf_96,79,63.3,57.0,-6.3,-1.13,-0.9
gate_A,pf_104,62,63.3,74.2,10.9,1.96,29.1
gate_B,day,1342,54.5,58.3,3.8,2.83,1.5
gate_B,night,3731,54.5,53.2,-1.4,-1.67,-7.5
gate_B,day+pitcher_park,506,54.5,55.3,0.8,0.36,-3.7
gate_B,day+cold,115,54.5,59.1,4.6,1.0,2.9
gate_B,day+windy,450,54.5,57.8,3.2,1.39,0.5
gate_B,day+strong_wind,103,54.5,58.3,3.7,0.76,1.4
gate_B,day+ump_under,311,54.5,58.8,4.3,1.54,2.4
gate_B,day+hitter_park,365,54.5,60.5,6.0,2.35,5.4
gate_B,pitcher_park+cold,71,54.5,70.4,15.9,2.93,22.5
gate_B,pitcher_park+windy,403,54.5,53.8,-0.7,-0.28,-6.3
gate_B,hitter_park+windy,241,54.5,58.1,3.5,1.12,1.1
gate_B,cold+windy,135,54.5,58.5,4.0,0.94,1.8
gate_B,strong_wind,203,54.5,59.6,5.1,1.47,3.7
gate_B,strong_wind+outdoor,203,54.5,59.6,5.1,1.47,3.7
gate_B,ump_under+cold,56,54.5,55.4,0.8,0.12,-3.7
gate_B,ump_under+windy,254,54.5,57.5,2.9,0.95,0.0
gate_B,indoor,187,54.5,52.4,-2.1,-0.59,-8.8
gate_B,outdoor+calm,1892,54.5,54.6,0.1,0.05,-5.0
gate_B,outdoor+windy,1000,54.5,56.3,1.8,1.12,-2.0
gate_B,warm+hitter_park,397,54.5,58.9,4.4,1.78,2.6
gate_B,cold+pitcher_park,71,54.5,70.4,15.9,2.93,22.5
gate_B,pf_94,402,54.5,61.2,6.7,2.74,6.5
gate_B,pf_96,217,54.5,51.6,-2.9,-0.86,-10.2
gate_B,pf_104,273,54.5,55.7,1.1,0.38,-3.1
gate_C,day,1157,55.6,56.1,0.5,0.36,-2.4
gate_C,night,2950,55.6,55.4,-0.2,-0.23,-3.7
gate_C,day+pitcher_park,505,55.6,57.8,2.3,1.03,0.6
gate_C,day+cold,179,55.6,48.6,-7.0,-1.86,-15.4
gate_C,day+windy,454,55.6,56.6,1.0,0.45,-1.5
gate_C,day+strong_wind,125,55.6,60.0,4.4,1.01,4.4
gate_C,day+ump_under,280,55.6,60.0,4.4,1.52,4.4
gate_C,day+hitter_park,244,55.6,53.3,-2.3,-0.72,-7.3
gate_C,pitcher_park+cold,122,55.6,62.3,6.7,1.53,8.4
gate_C,pitcher_park+windy,500,55.6,56.8,1.2,0.56,-1.2
gate_C,hitter_park+windy,186,55.6,60.2,4.7,1.3,4.8
gate_C,cold+windy,193,55.6,54.9,-0.6,-0.18,-4.4
gate_C,strong_wind,248,55.6,60.9,5.3,1.72,5.9
gate_C,strong_wind+outdoor,248,55.6,60.9,5.3,1.72,5.9
gate_C,ump_under+cold,89,55.6,52.8,-2.8,-0.52,-8.1
gate_C,ump_under+windy,268,55.6,60.1,4.5,1.51,4.5
gate_C,indoor,225,55.6,55.6,-0.0,-0.0,-3.3
gate_C,outdoor+calm,1399,55.6,57.3,1.7,1.28,-0.4
gate_C,outdoor+windy,996,55.6,57.2,1.7,1.06,-0.4
gate_C,warm+hitter_park,139,55.6,50.4,-5.2,-1.23,-12.4
gate_C,cold+pitcher_park,122,55.6,62.3,6.7,1.53,8.4
gate_C,pf_94,452,55.6,57.7,2.2,0.94,0.5
gate_C,pf_96,260,55.6,57.7,2.1,0.69,0.4
gate_C,pf_104,146,55.6,51.4,-4.2,-1.01,-10.6
gate_D,day,2280,52.8,53.5,0.7,0.69,-6.9
gate_D,night,5780,52.8,52.5,-0.3,-0.43,-8.6
