gate,label,N,gate_base,NRFI_pct,delta_pp,z
gate_A,temp=cold<55,106,63.3,67.9,4.6,1.02
gate_A,temp=cool55-65,256,63.3,60.5,-2.7,-0.89
gate_A,temp=hot>85,52,63.3,65.4,2.1,0.32
gate_A,temp=mild65-75,596,63.3,61.7,-1.5,-0.77
gate_A,temp=warm75-85,240,63.3,67.5,4.2,1.4
gate_A,park=hitter>102,309,63.3,68.0,4.7,1.76
gate_A,park=neutral98-102,500,63.3,64.4,1.1,0.52
gate_A,park=pitcher<98,441,63.3,58.7,-4.5,-1.94
gate_A,ump=under<0.995,307,63.3,63.2,-0.1,-0.03
gate_A,ump=neutral,670,63.3,64.8,1.5,0.81
gate_A,ump=over>1.005,273,63.3,59.7,-3.6,-1.2
gate_A,day_game,515,63.3,69.7,6.4,3.17
gate_A,night_game,735,63.3,58.8,-4.5,-2.48
gate_A,indoor,47,63.3,57.4,-5.8,-0.81
gate_A,outdoor,1203,63.3,63.5,0.2,0.16
gate_A,cold<55,105,63.3,67.6,4.3,0.95
gate_A,windy>=10,338,63.3,63.6,0.3,0.13
gate_A,wind=strong>15,69,63.3,71.0,7.7,1.42
gate_A,wind=mod5-10,473,63.3,61.9,-1.3,-0.6
gate_A,wind=calm<5,445,63.3,64.3,1.0,0.44
gate_A,wind=windy10-15,263,63.3,62.0,-1.3,-0.44
gate_B,temp=cold<55,268,54.5,57.1,2.5,0.84
gate_B,temp=cool55-65,741,54.5,54.4,-0.2,-0.09
gate_B,temp=hot>85,299,54.5,50.8,-3.7,-1.28
gate_B,temp=mild65-75,2565,54.5,54.1,-0.5,-0.48
gate_B,temp=warm75-85,1200,54.5,56.0,1.5,1.02
gate_B,park=hitter>102,1293,54.5,56.9,2.4,1.73
gate_B,park=neutral98-102,2098,54.5,53.7,-0.8,-0.76
gate_B,park=pitcher<98,1682,54.5,53.7,-0.8,-0.66
gate_B,ump=under<0.995,1238,54.5,54.8,0.3,0.21
gate_B,ump=neutral,2697,54.5,55.1,0.6,0.62
gate_B,ump=over>1.005,1138,54.5,52.8,-1.7,-1.17
gate_B,day_game,1342,54.5,58.3,3.8,2.83
gate_B,night_game,3731,54.5,53.2,-1.4,-1.67
gate_B,indoor,187,54.5,52.4,-2.1,-0.59
gate_B,outdoor,4886,54.5,54.6,0.1,0.11
gate_B,cold<55,264,54.5,57.2,2.7,0.87
gate_B,windy>=10,1000,54.5,56.3,1.8,1.12
gate_B,wind=strong>15,194,54.5,60.3,5.8,1.64
gate_B,wind=mod5-10,1986,54.5,54.0,-0.6,-0.51
gate_B,wind=calm<5,2111,54.5,54.2,-0.4,-0.32
gate_B,wind=windy10-15,782,54.5,55.5,1.0,0.54
gate_C,temp=cold<55,375,55.6,53.3,-2.2,-0.87
gate_C,temp=cool55-65,777,55.6,56.1,0.5,0.31
gate_C,temp=hot>85,100,55.6,55.0,-0.6,-0.11
gate_C,temp=mild65-75,2142,55.6,55.7,0.2,0.17
gate_C,temp=warm75-85,713,55.6,55.7,0.1,0.06
gate_C,park=hitter>102,824,55.6,55.8,0.3,0.15
gate_C,park=neutral98-102,1625,55.6,55.2,-0.4,-0.29
gate_C,park=pitcher<98,1658,55.6,55.8,0.2,0.19
gate_C,ump=under<0.995,1039,55.6,56.7,1.1,0.73
gate_C,ump=neutral,2174,55.6,55.1,-0.5,-0.47
gate_C,ump=over>1.005,894,55.6,55.5,-0.1,-0.05
gate_C,day_game,1157,55.6,56.1,0.5,0.36
gate_C,night_game,2950,55.6,55.4,-0.2,-0.23
gate_C,indoor,225,55.6,55.6,-0.0,-0.0
gate_C,outdoor,3882,55.6,55.6,0.0,0.0
gate_C,cold<55,369,55.6,53.4,-2.2,-0.84
gate_C,windy>=10,996,55.6,57.2,1.7,1.06
gate_C,wind=strong>15,238,55.6,60.9,5.4,1.69
gate_C,wind=mod5-10,1485,55.6,52.7,-2.8,-2.19
gate_C,wind=calm<5,1651,55.6,56.9,1.4,1.13
gate_C,wind=windy10-15,733,55.6,56.5,0.9,0.5
gate_D,temp=cold<55,518,52.8,52.1,-0.7,-0.3
gate_D,temp=cool55-65,1181,52.8,53.9,1.1,0.73
gate_D,temp=hot>85,487,52.8,51.3,-1.5,-0.64
gate_D,temp=mild65-75,4023,52.8,52.5,-0.3,-0.4
gate_D,temp=warm75-85,1851,52.8,53.4,0.6,0.5
gate_D,park=hitter>102,2010,52.8,52.9,0.1,0.13
gate_D,park=neutral98-102,3406,52.8,52.3,-0.5,-0.62
gate_D,park=pitcher<98,2644,52.8,53.4,0.6,0.59
gate_D,ump=under<0.995,1984,52.8,53.7,0.9,0.84
gate_D,ump=neutral,4293,52.8,52.9,0.1,0.08
gate_D,ump=over>1.005,1783,52.8,51.6,-1.2,-1.01
gate_D,day_game,2280,52.8,53.5,0.7,0.69
gate_D,night_game,5780,52.8,52.5,-0.3,-0.43
gate_D,indoor,316,52.8,50.0,-2.8,-0.99
gate_D,outdoor,7744,52.8,52.9,0.1,0.2
gate_D,cold<55,510,52.8,52.2,-0.6,-0.29
gate_D,windy>=10,1737,52.8,54.3,1.6,1.3
gate_D,wind=strong>15,391,52.8,57.5,4.8,1.9
gate_D,wind=mod5-10,3022,52.8,52.1,-0.7,-0.74
gate_D,wind=calm<5,3344,52.8,52.5,-0.3,-0.39
gate_D,wind=windy10-15,1303,52.8,53.8,1.0,0.73
