method,card_size,leg_rate,card_rate,slates
Random_F5_lte_4.0,1,0.6328,0.0,MC
Pure_F5_sort,1,0.6804347826086956,0.6804347826086956,460
V1,1,0.6955503512880562,0.6955503512880562,427
V2,1,0.667447306791569,0.667447306791569,427
V3,1,0.6985645933014354,0.6985645933014354,418
Random_F5_lte_4.0,2,0.6328,0.0,MC
Pure_F5_sort,2,0.6609195402298851,0.4367816091954023,348
V1,2,0.6688102893890675,0.45016077170418006,311
V2,2,0.6752411575562701,0.4630225080385852,311
V3,2,0.6677740863787376,0.4485049833887043,301
Random_F5_lte_4.0,3,0.6328,0.2518,MC
Pure_F5_sort,3,0.6740412979351033,0.3274336283185841,226
V1,3,0.6927083333333334,0.3489583333333333,192
V2,3,0.6822916666666666,0.3385416666666667,192
V3,3,0.6648451730418944,0.3114754098360656,183
Random_F5_lte_4.0,4,0.6328,0.16,MC
Pure_F5_sort,4,0.67578125,0.21875,128
V1,4,0.7034313725490197,0.23529411764705882,102
V2,4,0.6911764705882353,0.23529411764705882,102
V3,4,0.6929347826086957,0.21739130434782608,92
