threshold,n_train,wr_train,roi_train,n_oos,wr_oos,roi_oos
4.0,4602,50.58670143415907,-3.5217746823560554,1801,52.859522487506936,0.9850482619246561
4.5,4348,50.712971481140755,-3.2726951151928856,1682,53.09155766944114,1.4127488519936742
5.0,4081,50.82087723597157,-3.06474607701673,1563,53.039027511196416,1.3251899969926286
5.5,3801,50.59194948697711,-3.49380297964914,1444,52.77008310249307,0.8051284536131256
6.0,3500,50.31428571428571,-4.027755771082355,1311,52.55530129672006,0.4028276331548886
6.5,3168,50.063131313131315,-4.536816346441352,1170,53.07692307692308,1.4088406008003416
7.0,2818,50.070972320794894,-4.536848635061423,1032,53.48837209302325,2.1873259903657174
7.5,2466,51.054339010543394,-2.646163164686011,934,54.06852248394004,3.3068701492655035
8.0,2167,50.89986155976004,-2.938820423488192,823,54.3134872417983,3.879060283024749
8.5,1841,51.0048886474742,-2.729012087214511,706,54.815864022662886,4.741766399269647
9.0,1565,50.47923322683706,-3.7583755649175017,594,55.05050505050505,5.1986086967875895
9.5,1293,50.65738592420727,-3.4439260217622234,512,53.90625,3.050701512067054
10.0,1039,51.299326275264676,-2.26691703532129,420,53.57142857142857,2.45516298423792
10.5,807,50.43370508054523,-3.9162893839604846,337,54.59940652818991,4.315912577096402
11.0,645,52.86821705426357,0.6988233677479843,273,55.67765567765568,6.573827350621984
11.5,503,52.286282306163024,-0.47195363111053956,226,53.09734513274337,1.5508870541166426
12.0,383,51.43603133159269,-2.0427088240891678,176,51.70454545454546,-0.9573712117281417
12.5,294,51.36054421768708,-2.2044142136130995,133,48.87218045112782,-6.934972013936423
13.0,221,48.86877828054298,-6.9814706778784235,105,52.38095238095239,-0.34478119243709093
13.5,168,45.83333333333333,-12.802808739627574,80,56.25,7.2229060364558935
