ref_name,total_games,avg_total_points,avg_ft_rate
Marc Davis,133,229.10526315789474,0.23887932330827066
Ray Acosta,131,226.6412213740458,0.2534977099236641
Nick Buchert,129,228.6124031007752,0.2630627906976744
Justin Van Duyne,128,225.375,0.2443140625
Tyler Ford,128,227.640625,0.263917578125
Josh Tiven,127,227.09448818897638,0.24978622047244095
Gediminas Petraitis,127,229.45669291338584,0.259601968503937
Mitchell Ervin,127,230.84251968503938,0.26598858267716535
Brent Barnaky,127,225.8740157480315,0.24790984251968504
Pat Fraher,127,226.64566929133858,0.2718283464566929
Curtis Blair,126,229.34126984126985,0.254043253968254
Jacyn Goble,126,228.96031746031747,0.2609686507936508
Natalie Sago,126,228.0079365079365,0.2589599206349207
Zach Zarba,125,230.96,0.23909919999999998
Brian Forte,124,227.28225806451613,0.25314274193548386
Ed Malloy,124,229.06451612903226,0.2538717741935484
Kevin Scott,122,229.54098360655738,0.24510860655737704
Courtney Kirkland,121,226.70247933884298,0.25326570247933883
Karl Lane,121,229.6611570247934,0.2529351239669421
Sean Corbin,120,230.51666666666668,0.25932958333333334
Tony Brothers,119,232.18487394957984,0.2692428571428572
Ben Taylor,119,228.19327731092437,0.2553516806722689
Bill Kennedy,119,230.36974789915968,0.2632168067226891
JB DeRosa,119,229.890756302521,0.2649247899159664
James Williams,118,225.83050847457628,0.2391944915254237
Sean Wright,115,231.2173913043478,0.2630065217391304
Marat Kogut,115,228.1391304347826,0.2619186956521739
J.T. Orr,113,226.72566371681415,0.2512646017699115
Scott Twardoski,113,231.38053097345133,0.2580433628318584
Brett Nansel,110,227.26363636363635,0.2589931818181818
Andy Nagy,110,226.92727272727274,0.2548359090909091
John Butler,109,228.67889908256882,0.2515633027522936
Phenizee Ransom,108,230.5648148148148,0.2585601851851852
CJ Washington,108,232.46296296296296,0.27201898148148146
Kevin Cutler,107,228.14953271028037,0.25985467289719627
Scott Foster,107,231.07476635514018,0.2581588785046729
Eric Dalen,105,225.4857142857143,0.23790380952380952
Jason Goldenberg,105,232.2,0.27535714285714286
Tre Maddox,102,228.58823529411765,0.25414607843137255
Aaron Smith,102,230.36274509803923,0.25371470588235295
Mark Lindsay,100,231.01,0.2654635
Matt Myers,100,230.41,0.2614395
Rodney Mott,98,226.80612244897958,0.2673397959183674
Michael Smith,96,227.9375,0.25173697916666665
Dedric Taylor,95,228.03157894736842,0.25721052631578945
John Goble,94,226.67021276595744,0.25098670212765956
Mousa Dagher,93,226.8279569892473,0.2509967741935484
James Capers,93,225.36559139784947,0.25816666666666666
Brandon Adair,91,222.23076923076923,0.24172087912087914
Evan Scott,89,229.1573033707865,0.25301573033707864
Ashley Moyer-Gleich,88,229.0,0.26141704545454547
Jonathan Sterling,88,228.35227272727272,0.2479125
Jenna Schroeder,88,226.67045454545453,0.2516551136363636
David Guthrie,87,230.09195402298852,0.2662241379310345
Brandon Schwab,85,225.24705882352941,0.2525658823529412
Nate Green,83,225.13253012048193,0.25750301204819276
Matt Boland,82,229.0,0.26671524390243906
Suyash Mehta,81,228.82716049382717,0.2689061728395062
Robert Hussey,79,231.48101265822785,0.26429050632911394
John Conley,77,229.5194805194805,0.27239350649350647
Che Flores,71,227.26760563380282,0.25142464788732394
Tom Washington,69,224.94202898550725,0.23762608695652174
Matt Kallio,69,230.95652173913044,0.2668789855072464
Derek Richardson,68,228.75,0.2584286764705882
Derrick Collins,68,228.7941176470588,0.23891176470588232
Danielle Scott,65,226.58461538461538,0.2416676923076923
Intae Hwang,60,228.88333333333333,0.25405416666666664
Sha'Rae Mitchell,55,230.92727272727274,0.25705727272727275
Leon Wood,52,226.5,0.2608875
Scott Wall,51,229.15686274509804,0.2634872549019608
Dannica Mosher,46,226.8695652173913,0.2685597826086957
Lauren Holtkamp,45,233.9111111111111,0.26205666666666666
Eric Lewis,42,222.28571428571428,0.2823
JD Ralls,35,234.34285714285716,0.2601428571428572
Simone Jelks,31,234.61290322580646,0.23072903225806451
Tyler Ricks,31,224.41935483870967,0.24756612903225805
Pat O'Connell,17,229.52941176470588,0.26135882352941175
Jenna Reneau,16,231.5,0.2560875
Brent Haskill,15,230.6,0.24808333333333332
Tyler Mirkovich,15,227.4,0.3208566666666667
Biniam Maru,4,250.5,0.2458
Clare Aubry,2,233.0,0.21985
Agon Abazi,2,205.0,0.271825
