bookmaker,check,n,mean,violation_rate
betmgm,tt_gap,1457,9.65,0.9616
bovada,tt_gap,10474,-0.4623,0.2066
draftkings,tt_gap,13762,-0.41,0.2054
fanduel,tt_gap,13071,-0.3284,0.1364
pinnacle,tt_gap,14143,-0.3739,0.2135
betmgm,monotonicity,60245,0.0,0.0
betmgm,butterfly,48187,0.0,0.0
bovada,monotonicity,50304,0.0,0.0
bovada,butterfly,39674,0.0,0.0
draftkings,monotonicity,68448,0.0,0.0
draftkings,butterfly,54350,0.0,0.0
fanduel,monotonicity,4584,0.0,0.0
fanduel,butterfly,0,0.0,0.0
pinnacle,monotonicity,68852,0.0,0.0
pinnacle,butterfly,54936,0.0,0.0
betmgm,prob_structure,1400,0.0,1.0
bovada,prob_structure,1021,0.0,0.9716
draftkings,prob_structure,990,0.0,0.9919
fanduel,prob_structure,1733,0.0,0.9954
pinnacle,prob_structure,1549,0.0,0.9258
