type,matchup,N,mean_err,med_err,sd_err,over%,roi,p_val,lev_p,verdict
State,HIGH_STL_TOV_RATIO_LOW_TOV_RATE_vs_HIGH_PF_RATE_LOW_STL_TOV_RATIO,25,-6.13,-5.5,13.76,36.0,22.2,0.0356,0.2712,CANDIDATE
State,HIGH_AST_RATE_LOW_OPP_FTA_RATE_vs_HIGH_AST_RATE_LOW_OPP_FTA_RATE,57,5.98,5.5,15.58,61.4,21.5,0.0053,0.5853,CANDIDATE
Season,HIGH_PF_RATE_LOW_STL_TOV_RATIO_vs_HIGH_TOP2_SHARE_LOW_N_PLAYERS,48,5.52,6.0,18.01,62.5,19.3,0.0392,0.7631,CANDIDATE
Season,HIGH_TOP2_SHARE_LOW_N_PLAYERS_vs_HIGH_PF_RATE_LOW_STL_TOV_RATIO,56,4.98,4.75,15.65,67.9,31.9,0.0208,0.3249,CANDIDATE
State,HIGH_STL_TOV_RATIO_LOW_TOV_RATE_vs_HIGH_TOP2_SHARE_LOW_N_PLAYERS,37,4.43,4.5,14.2,56.8,8.4,0.066,0.4054,CANDIDATE
State,HIGH_PF_RATE_LOW_STL_TOV_RATIO_vs_HIGH_PF_RATE_LOW_STL_TOV_RATIO,43,4.08,5.0,15.72,60.5,15.4,0.0965,0.5316,CANDIDATE
Season,HIGH_STL_TOV_RATIO_LOW_TOV_RATE_vs_HIGH_STL_TOV_RATIO_LOW_TOV_RATE,46,-3.62,-3.0,16.7,41.3,10.3,0.1479,0.43,WATCH
State,HIGH_AST_RATE_LOW_OPP_FTA_RATE_vs_HIGH_STL_TOV_RATIO_LOW_TOV_RATE,18,-3.19,-0.25,14.95,50.0,-4.5,0.3774,0.4469,NULL
State,HIGH_AST_RATE_LOW_OPP_FTA_RATE_vs_HIGH_TOP2_SHARE_LOW_N_PLAYERS,80,-3.06,-5.75,18.14,35.0,24.1,0.1351,0.4958,WATCH
State,HIGH_TOP2_SHARE_LOW_N_PLAYERS_vs_HIGH_PF_RATE_LOW_STL_TOV_RATIO,59,2.49,0.5,17.04,52.5,0.3,0.2659,0.6131,NULL
State,HIGH_STL_TOV_RATIO_LOW_TOV_RATE_vs_HIGH_STL_TOV_RATIO_LOW_TOV_RATE,22,2.36,3.5,22.09,54.5,4.1,0.6209,0.0349,VARIANCE_CANDIDATE
Season,HIGH_TOP2_SHARE_LOW_N_PLAYERS_vs_HIGH_AST_RATE_LOW_OPP_FTA_RATE,25,2.21,2.5,16.25,56.0,11.4,0.5029,0.7252,NULL
Season,HIGH_AST_RATE_LOW_OPP_FTA_RATE_vs_HIGH_STL_TOV_RATIO_LOW_TOV_RATE,54,-2.18,0.0,16.36,50.0,-4.5,0.3327,0.9423,NULL
State,HIGH_PF_RATE_LOW_STL_TOV_RATIO_vs_HIGH_STL_TOV_RATIO_LOW_TOV_RATE,28,-1.97,-1.0,21.17,46.4,-1.0,0.6259,0.2259,NULL
Season,HIGH_STL_TOV_RATIO_LOW_TOV_RATE_vs_HIGH_AST_RATE_LOW_OPP_FTA_RATE,60,1.78,3.12,16.62,56.7,10.0,0.4103,0.587,NULL
State,HIGH_TOP2_SHARE_LOW_N_PLAYERS_vs_HIGH_TOP2_SHARE_LOW_N_PLAYERS,114,1.74,0.88,14.47,55.3,5.5,0.2025,0.1211,NULL
State,HIGH_PF_RATE_LOW_STL_TOV_RATIO_vs_HIGH_AST_RATE_LOW_OPP_FTA_RATE,52,-1.68,-0.75,15.58,46.2,1.1,0.4397,0.6711,NULL
Season,HIGH_STL_TOV_RATIO_LOW_TOV_RATE_vs_HIGH_TOP2_SHARE_LOW_N_PLAYERS,35,1.57,1.5,15.94,54.3,3.6,0.5635,0.5625,NULL
Season,HIGH_PF_RATE_LOW_STL_TOV_RATIO_vs_HIGH_PF_RATE_LOW_STL_TOV_RATIO,141,-1.47,-1.5,14.98,44.7,5.6,0.2471,0.0954,NULL
Season,HIGH_AST_RATE_LOW_OPP_FTA_RATE_vs_HIGH_PF_RATE_LOW_STL_TOV_RATIO,92,-1.1,-2.5,17.51,42.4,9.1,0.5501,0.6369,NULL
Season,HIGH_PF_RATE_LOW_STL_TOV_RATIO_vs_HIGH_STL_TOV_RATIO_LOW_TOV_RATE,103,1.08,0.5,17.51,52.4,0.1,0.5309,0.5175,NULL
State,HIGH_AST_RATE_LOW_OPP_FTA_RATE_vs_HIGH_PF_RATE_LOW_STL_TOV_RATIO,60,1.04,-0.38,17.46,46.7,-9.4,0.647,0.9111,NULL
State,HIGH_TOP2_SHARE_LOW_N_PLAYERS_vs_HIGH_STL_TOV_RATIO_LOW_TOV_RATE,36,1.02,0.0,19.6,50.0,-4.5,0.7565,0.0735,VARIANCE_CANDIDATE
Season,HIGH_AST_RATE_LOW_OPP_FTA_RATE_vs_HIGH_TOP2_SHARE_LOW_N_PLAYERS,27,0.89,-1.5,13.98,48.1,-8.1,0.7438,0.2152,NULL
State,HIGH_STL_TOV_RATIO_LOW_TOV_RATE_vs_HIGH_AST_RATE_LOW_OPP_FTA_RATE,26,0.79,0.25,18.27,50.0,-4.5,0.8276,0.2965,NULL
Season,HIGH_STL_TOV_RATIO_LOW_TOV_RATE_vs_HIGH_PF_RATE_LOW_STL_TOV_RATIO,104,-0.44,-2.5,17.46,42.3,9.4,0.7999,0.9151,NULL
State,HIGH_TOP2_SHARE_LOW_N_PLAYERS_vs_HIGH_AST_RATE_LOW_OPP_FTA_RATE,69,-0.43,-0.5,15.65,49.3,-3.2,0.8181,0.8477,NULL
State,HIGH_PF_RATE_LOW_STL_TOV_RATIO_vs_HIGH_TOP2_SHARE_LOW_N_PLAYERS,74,0.39,1.25,15.37,51.4,-0.6,0.8299,0.5911,NULL
Season,HIGH_AST_RATE_LOW_OPP_FTA_RATE_vs_HIGH_AST_RATE_LOW_OPP_FTA_RATE,47,0.39,-0.5,16.69,48.9,-6.6,0.874,0.8068,NULL
Season,HIGH_PF_RATE_LOW_STL_TOV_RATIO_vs_HIGH_AST_RATE_LOW_OPP_FTA_RATE,83,-0.29,-0.5,15.69,49.4,-3.4,0.8684,0.5044,NULL
Season,HIGH_TOP2_SHARE_LOW_N_PLAYERS_vs_HIGH_STL_TOV_RATIO_LOW_TOV_RATE,31,0.23,2.75,17.42,54.8,4.7,0.9409,0.8267,NULL
