matchup,period,N,mean_err,sd_err
HIGH_STL_TOV_RATIO_LOW_TOV_RATE_vs_HIGH_PF_RATE_LOW_STL_TOV_RATIO,A_2022_2023,10,-6.95,13.79
HIGH_STL_TOV_RATIO_LOW_TOV_RATE_vs_HIGH_PF_RATE_LOW_STL_TOV_RATIO,B_2024_2025,15,-5.58,14.2
HIGH_AST_RATE_LOW_OPP_FTA_RATE_vs_HIGH_AST_RATE_LOW_OPP_FTA_RATE,A_2022_2023,14,11.38,21.61
HIGH_AST_RATE_LOW_OPP_FTA_RATE_vs_HIGH_AST_RATE_LOW_OPP_FTA_RATE,B_2024_2025,43,4.23,12.9
HIGH_PF_RATE_LOW_STL_TOV_RATIO_vs_HIGH_TOP2_SHARE_LOW_N_PLAYERS,A_2022_2023,13,5.69,27.01
HIGH_PF_RATE_LOW_STL_TOV_RATIO_vs_HIGH_TOP2_SHARE_LOW_N_PLAYERS,B_2024_2025,35,5.45,13.83
HIGH_TOP2_SHARE_LOW_N_PLAYERS_vs_HIGH_PF_RATE_LOW_STL_TOV_RATIO,A_2022_2023,20,1.64,15.03
HIGH_TOP2_SHARE_LOW_N_PLAYERS_vs_HIGH_PF_RATE_LOW_STL_TOV_RATIO,B_2024_2025,36,6.83,15.88
HIGH_STL_TOV_RATIO_LOW_TOV_RATE_vs_HIGH_TOP2_SHARE_LOW_N_PLAYERS,A_2022_2023,23,3.57,15.19
HIGH_STL_TOV_RATIO_LOW_TOV_RATE_vs_HIGH_TOP2_SHARE_LOW_N_PLAYERS,B_2024_2025,14,5.84,12.83
HIGH_PF_RATE_LOW_STL_TOV_RATIO_vs_HIGH_PF_RATE_LOW_STL_TOV_RATIO,A_2022_2023,12,-2.46,15.77
HIGH_PF_RATE_LOW_STL_TOV_RATIO_vs_HIGH_PF_RATE_LOW_STL_TOV_RATIO,B_2024_2025,31,6.6,15.2
HIGH_STL_TOV_RATIO_LOW_TOV_RATE_vs_HIGH_STL_TOV_RATIO_LOW_TOV_RATE,A_2022_2023,27,-3.88,17.28
HIGH_STL_TOV_RATIO_LOW_TOV_RATE_vs_HIGH_STL_TOV_RATIO_LOW_TOV_RATE,B_2024_2025,19,-3.26,16.29
HIGH_AST_RATE_LOW_OPP_FTA_RATE_vs_HIGH_TOP2_SHARE_LOW_N_PLAYERS,A_2022_2023,32,-4.01,15.4
HIGH_AST_RATE_LOW_OPP_FTA_RATE_vs_HIGH_TOP2_SHARE_LOW_N_PLAYERS,B_2024_2025,48,-2.43,19.89
HIGH_STL_TOV_RATIO_LOW_TOV_RATE_vs_HIGH_STL_TOV_RATIO_LOW_TOV_RATE,A_2022_2023,18,5.17,23.19
HIGH_STL_TOV_RATIO_LOW_TOV_RATE_vs_HIGH_STL_TOV_RATIO_LOW_TOV_RATE,B_2024_2025,4,-10.25,10.41
HIGH_TOP2_SHARE_LOW_N_PLAYERS_vs_HIGH_STL_TOV_RATIO_LOW_TOV_RATE,A_2022_2023,20,3.2,20.58
HIGH_TOP2_SHARE_LOW_N_PLAYERS_vs_HIGH_STL_TOV_RATIO_LOW_TOV_RATE,B_2024_2025,16,-1.7,18.58
