feature,coef,abs_rank,holdout_mean,holdout_sd,corr_actual,corr_p
home_rolling_pts,2.9,1,81.945,4.185,0.0867,0.1912
home_b2b,-1.6068,2,0.048,0.214,0.0556,0.4024
home_rolling_opp_pts,1.3467,3,81.344,5.589,0.3679,0.0
away_rolling_pace,-1.2777,4,89.26,2.86,0.1096,0.0979
away_rolling_opp_pts,1.2467,5,81.303,5.435,0.1642,0.0129
home_rolling_pace,1.0975,6,89.368,2.993,0.1953,0.003
away_rolling_fta_rate,1.04,7,18.129,2.351,-0.03,0.6515
away_rolling_3pa_rate,0.7507,8,0.336,0.066,0.0939,0.1569
away_rolling_pts,0.7155,9,81.704,4.351,0.0804,0.2256
home_rolling_fta_rate,0.6955,10,18.071,2.361,-0.0824,0.2144
rest_diff,0.6662,11,0.301,3.002,-0.015,0.8211
home_rolling_oreb_rate,-0.5172,12,8.189,1.788,0.024,0.7177
early_season_flag,0.3972,13,0.135,0.343,-0.1158,0.0804
home_rolling_3pa_rate,-0.3344,14,0.335,0.067,0.0844,0.2032
away_b2b,0.3052,15,0.044,0.205,0.0486,0.4647
away_rolling_oreb_rate,-0.1814,16,8.176,1.801,0.0214,0.7479
home_premium,-0.1794,17,0.953,5.661,0.246,0.0002
