hypothesis,direction,N_active,mean_err_active,mean_err_inactive,error_gap,p_value,roi,verdict,N_inactive,over_rate_active,under_rate_active,sd_active
H15_strong_disagreement,,4,-8.75,-0.31,-8.44,0.2993,,THIN_SAMPLE,223.0,50.0,50.0,13.23
H03_low_edge_under,UNDER,8,5.72,-0.68,6.4,0.2697,-52.3,THIN_SAMPLE,219.0,75.0,25.0,14.11
H11_offense_mismatch,OVER,106,-2.99,1.76,-4.75,0.026,-18.4,CANDIDATE,121.0,41.5,55.7,17.1
H18_late_season,,22,3.5,-0.88,4.38,0.2252,,NULL,205.0,54.5,40.9,17.77
H08_high_total,UNDER,50,1.64,-1.05,2.69,0.297,-18.2,NULL,177.0,56.0,42.0,16.29
H14_pace_mismatch,,137,-1.52,1.16,-2.68,0.221,,NULL,90.0,44.5,53.3,15.63
H05a_b2b_under,UNDER,8,1.22,-0.52,1.74,0.7646,-28.4,THIN_SAMPLE,219.0,62.5,37.5,8.68
H02_high_edge_over,OVER,18,-1.92,-0.33,-1.58,0.6896,-10.2,NULL,209.0,44.4,50.0,18.06
H10_rest_matched,,120,-1.11,0.27,-1.38,0.5195,,NULL,107.0,45.8,53.3,17.13
H07_low_total,OVER,70,-1.34,-0.07,-1.28,0.5816,-13.0,NULL,157.0,44.3,52.9,15.56
H06_rest_edge_agree,,25,-1.49,-0.33,-1.16,0.7349,,NULL,202.0,56.0,44.0,15.22
H13_both_strong_defense,UNDER,19,0.54,-0.55,1.09,0.7781,-15.2,NULL,208.0,52.6,42.1,12.68
H12_both_high_offense,OVER,11,0.55,-0.51,1.06,0.8324,21.5,THIN_SAMPLE,216.0,63.6,36.4,23.29
H09_early_season,,34,-0.21,-0.5,0.3,0.9209,,NULL,193.0,47.1,52.9,16.02
H01_decile_monotonicity,,227,,,,,,DESCRIPTIVE,,,,
H05b_b2b_over,OVER,1,,,,,,THIN_SAMPLE,226.0,,,
H16_home_premium_high,,0,,,,,,SKIPPED,,,,
H17_home_premium_negative,,0,,,,,,SKIPPED,,,,
