ODDS d2d35fbe5af6bfe1793fa34d77a5d527 2025-08-16T14:00:00Z | ConnectionError: HTTPSConnectionPool(host='api.the-odds-api.com', port=443): Max retries exceeded with url: /v4/historical/sports/baseball_mlb/events/d2d35fbe5af6bfe1793fa34d77a5d527/odds?apiKey=878a2871db03859cc4bb87c2fdaba71d&date=2025-08-16T14%3A00%3A00Z&regions=us&markets=team_totals%2Calternate_totals&bookmakers=draftkings%2Cfanduel%2Cbetmgm%2Ccaesars%2Chard_rock%2Cbet365%2Cbovada%2Cbetonline_ag%2Cmybookieag%2Cpinnacle (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x110739e50>: Failed to establish a new connection: [Errno 51] Network is unreachable'))
ODDS 23229b3e18535df0b09c5d63feb84683 2025-08-16T14:00:00Z | ConnectionError: HTTPSConnectionPool(host='api.the-odds-api.com', port=443): Max retries exceeded with url: /v4/historical/sports/baseball_mlb/events/23229b3e18535df0b09c5d63feb84683/odds?apiKey=878a2871db03859cc4bb87c2fdaba71d&date=2025-08-16T14%3A00%3A00Z&regions=us&markets=team_totals%2Calternate_totals&bookmakers=draftkings%2Cfanduel%2Cbetmgm%2Ccaesars%2Chard_rock%2Cbet365%2Cbovada%2Cbetonline_ag%2Cmybookieag%2Cpinnacle (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11073b750>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
ODDS cae32d2a5fcbaede275ac79fb7083678 2025-08-16T20:00:00Z | ReadTimeout: HTTPSConnectionPool(host='api.the-odds-api.com', port=443): Read timed out. (read timeout=15)
ODDS 175ada54298b1541a4abb94f17f6a75c 2025-08-16T20:00:00Z | ConnectionError: HTTPSConnectionPool(host='api.the-odds-api.com', port=443): Max retries exceeded with url: /v4/historical/sports/baseball_mlb/events/175ada54298b1541a4abb94f17f6a75c/odds?apiKey=878a2871db03859cc4bb87c2fdaba71d&date=2025-08-16T20%3A00%3A00Z&regions=us&markets=team_totals%2Calternate_totals&bookmakers=draftkings%2Cfanduel%2Cbetmgm%2Ccaesars%2Chard_rock%2Cbet365%2Cbovada%2Cbetonline_ag%2Cmybookieag%2Cpinnacle (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11073bd90>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
ODDS 6fb1a798217516bde65fafbb18a41b8e 2025-08-16T20:00:00Z | ConnectionError: HTTPSConnectionPool(host='api.the-odds-api.com', port=443): Max retries exceeded with url: /v4/historical/sports/baseball_mlb/events/6fb1a798217516bde65fafbb18a41b8e/odds?apiKey=878a2871db03859cc4bb87c2fdaba71d&date=2025-08-16T20%3A00%3A00Z&regions=us&markets=team_totals%2Calternate_totals&bookmakers=draftkings%2Cfanduel%2Cbetmgm%2Ccaesars%2Chard_rock%2Cbet365%2Cbovada%2Cbetonline_ag%2Cmybookieag%2Cpinnacle (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11073ad50>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
ODDS 19fb7b4327af88f3298e4b85eaaa9a8c 2025-08-16T20:00:00Z | ConnectionError: HTTPSConnectionPool(host='api.the-odds-api.com', port=443): Max retries exceeded with url: /v4/historical/sports/baseball_mlb/events/19fb7b4327af88f3298e4b85eaaa9a8c/odds?apiKey=878a2871db03859cc4bb87c2fdaba71d&date=2025-08-16T20%3A00%3A00Z&regions=us&markets=team_totals%2Calternate_totals&bookmakers=draftkings%2Cfanduel%2Cbetmgm%2Ccaesars%2Chard_rock%2Cbet365%2Cbovada%2Cbetonline_ag%2Cmybookieag%2Cpinnacle (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11073b750>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
ODDS 23229b3e18535df0b09c5d63feb84683 2025-08-16T23:00:00Z | ConnectionError: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
ODDS cae32d2a5fcbaede275ac79fb7083678 2025-08-16T23:00:00Z | ReadTimeout: HTTPSConnectionPool(host='api.the-odds-api.com', port=443): Read timed out. (read timeout=15)
ODDS d4f35e82f8213058643776e352cbe252 2025-08-17T11:00:00Z | ConnectionError: HTTPSConnectionPool(host='api.the-odds-api.com', port=443): Max retries exceeded with url: /v4/historical/sports/baseball_mlb/events/d4f35e82f8213058643776e352cbe252/odds?apiKey=878a2871db03859cc4bb87c2fdaba71d&date=2025-08-17T11%3A00%3A00Z&regions=us&markets=team_totals%2Calternate_totals&bookmakers=draftkings%2Cfanduel%2Cbetmgm%2Ccaesars%2Chard_rock%2Cbet365%2Cbovada%2Cbetonline_ag%2Cmybookieag%2Cpinnacle (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x110739e50>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
ODDS ae71b8e2f38c57741846bb06989e35b5 2025-08-17T11:00:00Z | ConnectionError: HTTPSConnectionPool(host='api.the-odds-api.com', port=443): Max retries exceeded with url: /v4/historical/sports/baseball_mlb/events/ae71b8e2f38c57741846bb06989e35b5/odds?apiKey=878a2871db03859cc4bb87c2fdaba71d&date=2025-08-17T11%3A00%3A00Z&regions=us&markets=team_totals%2Calternate_totals&bookmakers=draftkings%2Cfanduel%2Cbetmgm%2Ccaesars%2Chard_rock%2Cbet365%2Cbovada%2Cbetonline_ag%2Cmybookieag%2Cpinnacle (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11073a710>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
ODDS 6fb1a798217516bde65fafbb18a41b8e 2025-08-17T11:00:00Z | ConnectionError: HTTPSConnectionPool(host='api.the-odds-api.com', port=443): Max retries exceeded with url: /v4/historical/sports/baseball_mlb/events/6fb1a798217516bde65fafbb18a41b8e/odds?apiKey=878a2871db03859cc4bb87c2fdaba71d&date=2025-08-17T11%3A00%3A00Z&regions=us&markets=team_totals%2Calternate_totals&bookmakers=draftkings%2Cfanduel%2Cbetmgm%2Ccaesars%2Chard_rock%2Cbet365%2Cbovada%2Cbetonline_ag%2Cmybookieag%2Cpinnacle (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11073aad0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
