f,c,a
home_b2b,-0.3372151167783507,0.3372151167783507
any_b2b,-0.23939500729539828,0.23939500729539828
a_rpts,0.21184577939984348,0.21184577939984348
a_ropp,-0.18286888076982177,0.18286888076982177
ct_c,-0.11967306174856265,0.11967306174856265
a_rpace,0.11905256755953952,0.11905256755953952
low_t,0.08871674362887404,0.08871674362887404
h_rpts,-0.07557828231211651,0.07557828231211651
h_rpace,-0.07373923564959131,0.07373923564959131
a_r3pa,-0.06859160239275205,0.06859160239275205
h_ropp,-0.06122353743540511,0.06122353743540511
h_r3pa,-0.044567870729123465,0.044567870729123465
rest_diff,0.038664512276755235,0.038664512276755235
avg_pace,0.037176387725044564,0.037176387725044564
high_t,0.03392971356990098,0.03392971356990098
